customer_id,code
6558f8388bbd2a6070f8f86f,EUM
63d23e6184cb6751d61db970,AIH
66d303a84a0648f19d1dbf7f,YRM
62b0904decc1670013742dd1,JSH
66a7e97e3ae6dbea6da6b796,ZAJ
64090609a098d04dc2b94d21,CPS
67408d5e377f8f424ec5c74d,JSH
674444504a3560d2922a59a6,ZAJ
65d5dcb6584cac4861473e19,EUD
66dc3e5f0130a52561324aaf,LFY
651fbf3c8d212d1a8e1f9639,AIH
63c17d8ed15c10c6a7aaa082,ULE
66c85659c5265e95d2da87fc,ULY
65fee1bcfa70602027b33dbd,JWM
6740dab9fbc7d96faec8bb74,EUM
63f33c91676ac5e19cd875b6,CPS
67445528d7a8ee6488bcf2f9,CPS
63d2b0f8375414aa8924f3e1,JSH
67445101d3a8ebaf4d40bdab,MGI
67444e1f8bfdf1f57fffb1dc,JSH
67444ec98d16d407fb7d7dec,JSH
6744a9acb4a240923828fc91,CPS
67444c788846476eed985442,JSH
67444e18d3145465e07e1a67,DXJ
673dab9a7b6548f7dfa21ba7,ZAJ
64d9e3178ab928426aead8fc,QPE
65f449ea50defa25519cabb5,EUM
65d1335220afa51d9bb4b86a,AIH
66ffee257ceab85647d72752,GSB
6608077ed3a314d835122b0a,ZVL
6740a26bd0d026a9241b8541,QRL
650af9f517d90ec7401705e7,DXJ
662a07c13069632799be1f1c,SPT
62b091deb8840077dd82e950,DXJ
673e4ec189f99501c8675e20,AIH
67445d47a3ce9cc3da171024,JZT
6744727201e239fe1c446162,RFD
62b09a944e5398500c47acd0,EUM
6646150719a5f94ca536ff8a,OAL
674488a244b4e3ca0736851e,ZAJ
641c72919477bd544ebc0ea0,CPS
67449b038f0c730b567c5458,LUV
6744b0368d16d407fb8a656d,TCU
67446cc5a3ce9cc3da191a87,OAL
67447a20452dea4c8771fccc,CPS
6743b3c77728e54e0ca8a1d3,AIH
67439f0859e08051e51d8541,EUM
67224fd07d8522da0ed1e106,MTG
665dd03a6c7ca0fad6f49fa5,CDK
62b09a9b8d2d2e1e69a2486f,DXJ
66d57e2a869a274b626f08ed,ZAJ
64ba84847e4ee42d805cef0d,EUM
64ba84847e4ee42d805cef0d,EUM
6741d326854363c043d4eacd,ZAJ
6744c587071aece4e93dec5a,SCT
67445eb0a65448fc8ebd7c5b,MGI
6744ba388accdd7b2881a5b5,TCU
6745987c74606d6b1ded3a37,OAL
6745a0eb953bad7e73f6910d,BLT
65281ec875cf6e891f1ff810,AQD
62b097dd4e5398ea8b46f7ea,QPE
64cb63f6550d9e4db7c1005b,AQD
